title,price_display,description,propertyType,locality,latitude,longitude,postcode,state,street_address,suburb,bathrooms,bedrooms,parking_spaces,agency_name,amenities
Experience Resort Living – An Entertainer’s Dream,1200.0,"Positioned in a quiet cul-de-sac within a prime location, 7 Brush Court presents a rare opportunity to live an expansive lifestyle property just moments from urban amenities. Offering approximately 7,660m² (just under 2 acres) of fully fenced land, this residence delivers privacy, space and flexibility while remaining within easy reach of key transport links and essential services.<br/><br/>Ideally located approximately 28 minutes from the Perth CBD, 15–20 minutes from Perth Airport (Domestic and International), the property offers a highly convenient base for both professional and family life. Major shopping centres, markets and public transport options, including a high-frequency bus service, are located just minutes away, with straightforward access to Roe Highway and major roads and highways<br/><br/>Features and Highlights<br/>•⁠ ⁠Beautifully presented and designed for contemporary family living<br/>•⁠ ⁠Four spacious bedrooms, all with built-in robes<br/>•⁠ ⁠Two well-appointed bathrooms<br/>•⁠ ⁠⁠Three ToiletsExpansive open-plan living and dining areas<br/>•⁠ ⁠Modern kitchen with walk-in pantry<br/>•⁠ ⁠Ducted air conditioning plus split-system climate control<br/>•⁠ ⁠Double garage with internal access<br/>•⁠ ⁠The functional floorplan provides comfortable day-to-day living, while the generous proportions allow for effortless entertaining and relaxed weekends at home.<br/><br/>Additional features include:<br/>•⁠ ⁠Multiple sheds<br/>•⁠ ⁠Bore with reticulation<br/>•⁠ ⁠⁠Rear gate access to public transport<br/>•⁠ ⁠⁠Extensive parking space for caravan, boat, trailers or additional vehicles<br/>•⁠ ⁠⁠Private Playground<br/>•⁠ ⁠⁠Basketball Court, Mini Golf,Cubby House and Monkey Bar<br/><br/>This is a rare leasing opportunity combining semi-rural tranquillity with metropolitan accessibility — ideal for tenants seeking space, privacy and convenience in equal measure.<br/><br/>For further information or to arrange a private inspection, please enquire today.",house,Canning Vale,-32.08038,115.90464,6155,WA,7 Brush Court,Canning Vale,2,4,2,Realth Property Group - Willetton ,Garage: 2
Ready For You,700.0,"Four good sized bedrooms, with built in robes and master with ensuite bathroom & separate toilet and walk in wardrobe. Family bathroom with bathtub. Open plan living and dining areas opening to a covered patio area, great for entertaining and a fully fenced, grassed back yard. Beautiful kitchen with gas stovetop & electric oven, dishwasher and plenty of cupboard space. Double internal access garage with motorised door. Split system air conditioning in living area.<br/><br/>Great location in the sought after suburb of Baldivis, just a short drive to beautiful beaches and other coastal attractions. Close to schools and parks, including the nearby Daintree Street park. A range of shopping options nearby, including Stocklands Shopping Centre and Spudshed. Baldivis is situated close to major roads and with public transport options connecting to nearby train stations and the broader Perth area, travel will be a breeze. Close to Kwinana Freeway and Safety Bay Road, travel to Perth, Mandurah, Rockingham and Warnbro has never been easier.<br/><br/> <br/><br/>This won’t last long so register your interest today.",house,Baldivis,-32.33980462,115.83304884,6171,WA,78 Avoca Chase,Baldivis,2,4,2,Abel Property - Rentals,"Garage: 2, Built-in Wardrobes, Dishwasher, Ensuite: 1, Living Areas: 1, Split-system Air Conditioning, Split-system Heating, Toilets: 2"
Semi Furnished 2-Bedroom Apartment with Secure Parking in the Heart of Phillip,725.0,"Discover modern city-fringe living in this stylish and spacious apartment, perfectly positioned in the heart of Phillip. Designed for comfort and convenience, this property is ideal for professionals, couples, or small families seeking a contemporary lifestyle.<br/><br/>Key Features:<br/> - Open-plan living and dining areas with abundant natural light<br/> - Two generously sized bedrooms with built-in wardrobes<br/> - Master bedroom with private ensuite<br/> - Modern kitchen with quality appliances and ample storage<br/> - Two well-appointed bathrooms<br/> - Two secure car spaces for convenience<br/> - Private balcony offering pleasant suburb views<br/> - Air conditioning and heating for year-round comfort<br/> - Secure building with intercom access and lift<br/><br/>Location Highlights:<br/> - Walking distance to Woden Town Centre, offering shopping, dining, and entertainment options<br/> - Excellent access to public transport and main roads<br/> - Close to schools, parks, and recreational facilities<br/> - Near Canberra Hospital and government offices, ideal for professionals<br/><br/>This apartment combines modern comfort, secure living, and a prime location, making it a perfect choice for those wanting the best of Phillip and Canberra living.<br/><br/>Available from 15/02/2026 <br/>EER Unknown<br/>The property complies with minimum ceiling insulation standards.<br/><br/>Additional Information:<br/>Pets: Prospective tenants must obtain prior consent from the owner and body corporate to keep pets on the premises.<br/><br/>Inspection: The provided photos are for visual reference only. An in-person or virtual inspection of the property is required before leasing.<br/><br/>Don't miss out on the opportunity to lease this stylish and modern home in one of Canberra's most desirable locations. Contact us today to arrange an inspection!<br/><br/>Disclaimer: All information contained herein is obtained from property owners or third-party sources which we believe are reliable. We have no reason to doubt its accuracy, however we cannot guarantee it. All interested person/s should rely on their own enquiries.<br/>",unit,Phillip,-35.34391395,149.08688313,2606,ACT,716/15 Bowes Street,Phillip,2,2,2,VC Property ACT - DICKSON,Garage: 2
Charming Character Home with City Views & Space for the Caravan!,800.0,"Freshly painted, beautifully presented and ready for its next chapter, this elevated mid-century cottage offers warmth, character and exceptional versatility - all just minutes from the CBD.<br/><br/>Perched high on the hill with sweeping city views, this solidly built four-bedroom, two-bathroom home blends timeless charm with practical family living. There is plenty of space to relax, entertain and securely store a trailer or caravan, while enjoying the lifestyle this sought-after location provides.<br/><br/>Inside, the home showcases original hardwood floors, an open-plan living and meals area with an elevated outlook, and a well-appointed kitchen featuring a freestanding gas stove, double stainless-steel sink, ample cabinetry and generous bench space.<br/><br/>The spacious master suite includes floor-to-ceiling built-in robes, a ceiling fan, reverse-cycle air conditioning and a private ensuite. Bedrooms two and three are fitted with mirrored built-in robes and ceiling fans. A tidy main bathroom with a second WC, completes the functional and flexible layout.<br/><br/>Outdoors, you will find a covered alfresco area ideal for entertaining, wide side access with a secondary driveway, and freestanding outbuildings suited to a home office, studio or additional storage.<br/><br/>Parking for a trailer, boat or caravan is a valuable bonus, and with city-bound public transport quite literally at your doorstep, convenience is assured.<br/><br/>Enjoy easy access to everything you need:<br/><br/>• Just 150m to the #40 city-bound bus (Power St before Sudlow St) with direct access to Elizabeth Quay<br/>• 600m to Hillcrest Reserve<br/>• 700m to Embleton Primary School<br/>• 1.1km to Embleton Golf Course<br/>• 1.6km to Bayswater Train Station and the revitalised Bayswater Town Centre<br/>• Only 8.5km to Perth CBD<br/><br/>(Distances are approximate)<br/>WANT TO VIEW THIS PROPERTY? Simply click the BOOK INSPECTION button and you will immediately be able to see and book in any available viewing times (if a date is not currently available you will receive an SMS and email as soon as it's available to view).<br/><br/>Please ensure you are registered for all viewings so we can keep you updated on any changes.<br/><br/>Once you have viewed the property, you will be sent an SMS and email with a link to apply.<br/><br/>Own an investment property? If you are looking for property management services, we would love to hear from you. Contact me today for a confidential chat - [REDACTED PHONE]",house,Embleton,-31.90533,115.91366,6062,WA,6 Doherty Street,Embleton,2,4,5,Matte Black Real Estate - SUBIACO,"Garage: 1, Open Spaces: 4"
Modern Family Living in Virginia's Sought-After New Estate,630.0,"Welcome to a beautifully presented home in the thriving new estate of Virginia, where comfort, style, and lifestyle come together perfectly. Designed with modern families in mind, this spacious four-bedroom residence offers the ideal blend of functionality and relaxed living-just steps from fantastic outdoor amenities.<br/><br/>What truly sets this home apart is its unbeatable location-at the end of the street you'll find a playground, soccer pitch, and peaceful lake, offering the perfect lifestyle for families and those who enjoy the outdoors.<br/><br/>Property Features:<br/>• Four spacious bedrooms<br/>• Master bedroom with split system, walk-in robe, and ensuite<br/>• Built-in robes and ceiling fans to remaining bedrooms<br/>• Light-filled open plan living and dining<br/>• Modern kitchen with dishwasher and ample storage<br/>• Double garage with secure internal access<br/>• Covered outdoor patio for entertaining<br/>• Fully irrigated, low-maintenance yards<br/>• Playground, soccer pitch, and lake just moments away<br/><br/>This is your opportunity to secure a modern home in a vibrant, family-friendly community.<br/><br/>Please be advised, appliances & landscaping will be installed prior to tenancy starting<br/>Apply through Tenant Options & Register to Inspect",house,Virginia,-34.68112794,138.56091611,5120,SA,32 Joseph Street,Virginia,2,4,2,Raine & Horne - Gawler (RLA266629),"Garage: 2, Ensuite: 1, Toilets: 2"
Stylish 2-Bedroom Apartment in Denman Prospect,640.0,"Welcome to this modern residential apartment located in the heart of Denman Prospect. Offering two spacious bedrooms and two stylish bathrooms, this property is perfect for those seeking comfort and convenience. The open-plan living area is designed for relaxation and entertaining, with plenty of natural light flowing through.<br/><br/>Enjoy the luxury of two secure garage spaces, making parking a breeze. The well-equipped kitchen features contemporary finishes and ample storage, ideal for home chefs and casual dining alike. Step outside to discover a vibrant community, with parks and local amenities just a short stroll away.<br/><br/>This apartment is not just a home; it’s a lifestyle choice. Embrace the charm of Denman Prospect and make this stunning property your own. Don't miss out on this fantastic opportunity to secure your dream living space!<br/><br/>Available: NOW<br/><br/>Additional Information:<br/>-This property has an embedded network for Internet & Electricity.<br/>-The tenant/s must seek landlord consent to keep pets at this property.<br/>-The property is exempt from the minimum housing standards for insulation.<br/>-The property is unfurnished.<br/>-Please note you may be required to remove your shoes prior to inspecting the property.<br/><br/>",apartment,Denman Prospect,-35.30000763,149.03289905,2611,ACT,B.401/15 Summerfield Close,Denman Prospect,2,2,2,One Agency Brindabella - BELCONNEN,Garage: 2
LOW MAINTENANCE LIVING,795.0,"Overlooking a lush green park, you'll find this modern three year young double story home, located in a super quiet area and finished with all the 'I wants'.<br/><br/>Downstairs features include:<br/>- Large living/dining area flooded with natural light<br/>- Chef's kitchen with stone bench tops, glass splash back, gas hot plates, 900mm oven and walk in pantry<br/>- At the front of home, a 2nd living or 4th bedroom/home office<br/>- Good sized laundry and powder room<br/>- Under stair storage<br/>- Paved courtyard<br/><br/>Upstairs:<br/>- Big main bedroom with ensuite & walk in robe plus views over the park<br/>- Two minor bedrooms, both queen bed size with built in robes<br/>- Family bathroom with separate bath & shower<br/>- Separate toilet<br/><br/>Include:<br/>- Ducted reverse cycle air conditioning<br/>- NBN<br/>- Remote parking for two of rear lane way<br/>- Easy care gardens<br/><br/>Ideally positioned with local primary and secondary schools within walking distance, Forrestfield Shopping Centre a short drive and easy access to transport routes to get the Airport.<br/><br/>NOTE : We only accept applications through 2Apply. If you would like to apply for this property, you must view the property prior to applying.<br/><br/>If you plan on viewing this property it is imperative that you register your details by using this link https://www.2apply.com.au/agency/McCameyandCo or clicking the 'Book Inspection' button.",house,Forrestfield,-31.97444144,116.01273347,6058,WA,14 Sorbus Lane,Forrestfield,2,4,2,McCamey & Co - KARAWARA,"Courtyard, Garage: 2, Remote Garage, Built-in Wardrobes, Dishwasher, Living Areas: 1, Reverse-cycle Air Conditioning, Toilets: 3"
Spacious 4-Bedroom Family Home with Renovated Bathroom & Large Backyard in Thornlie,850.0,"Welcome to 11 Elliot Place, Thornlie - a spacious and well-positioned home offering comfort, flexibility and convenience in one of Thornlie's most convenient pockets.<br/><br/>Designed for easy living, this property is ideal for families seeking space, functionality and a low-maintenance lifestyle. Featuring four well-sized bedrooms, a beautifully renovated main bathroom, plus an added second bathroom/laundry with a separate toilet, the home offers practical comfort for busy households.<br/><br/>The versatile enclosed patio provides additional living space perfect for year-round entertaining, while the generous backyard offers plenty of room for kids, pets or simply relaxing outdoors.<br/><br/>Located just moments from Thornlie Square Shopping Centre, local schools, parklands and public transport, this home delivers everyday convenience in a family-friendly setting.<br/><br/>Property Features:<br/>• 4 generous sized bedrooms<br/>• Renovated main bathroom<br/>• Additional bathroom/laundry with separate toilet<br/>• Functional kitchen with adjoining meals area<br/>• Open plan lounge area<br/>• Enclosed patio / sunroom<br/>• Large backyard with plenty of space to enjoy<br/>• Carport with generous parking options<br/>• Short walk to the Yale Road bus stop, with direct services to Thornlie Station allowing easy access to Perth CBD and beyond.<br/><br/>Don't miss your opportunity to secure this well-appointed home in a sought-after location. Contact Sara English for more information on [REDACTED PHONE].<br/><br/> **Disclaimer: Ray White BPG have in preparing this advert used our best endeavours to ensure the information contained is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements contained. Reference to a school does not guarantee availability of that particular school. All distances are estimated using Google maps. Prospective purchasers/tenants should make their own enquiries with the relevant authorities to verify the information contained in this advert. ALL boundary lines and size on imagery is APPROX only.**",house,Thornlie,-32.05525,115.94431,6108,WA,11 Elliot Place,Thornlie,2,4,2,Ray White BPG - THORNLIE,Carport: 2
"COMFORT, ENERGY EFFICIENT & EASYCARE LIVING",700.0,"• All enquiries by email only to property management - [REDACTED EMAIL]<br/>• All applications through SNUG<br/><br/>Located in a quiet and well-established pocket of Two Rocks, this well-presented 3-bedroom, 2-bathroom home offers an ideal combination of comfort, efficiency and easy-care living. With extra high double garage, R/C Air to every room and Solar PV to reduce your electricity, its a catch!<br/><br/>• Freshly painted and fitted with new carpets<br/>• Split R/C Air-conditioning to EVERY room<br/>• Ceiling fans to the master bedroom and open-plan living area<br/>• Stylish kitchen with gas stove, rangehood and electric oven, microwave brackets and soft-close drawers<br/>• Open-plan living and dining<br/>• Outdoor alfresco with café blinds<br/>• Manicured gardens, Reticulation and Garden Shed <br/>• Extra HIGH double garage<br/>• 6kw Solar PV system<br/>• NBN connected<br/><br/>Situated in the Atlantis Estate of Two Rocks, only moments away from local parks, playgrounds, beach, marina, tavern, restaurants, cafés, library, doctors, dentist, pharmacy, IGA and local shops.<br/>Choices of nearby schools Two Rocks Primary & Atlantis Batist College plus day-care facilities<br/><br/>Disclaimer: The above information has been provided by sources we deem to be reliable. We do not accept any responsibility to any person for its accuracy. All interested parties should rely upon their own enquiries in order to determine the accuracy of this information.<br/>",house,Two Rocks,-31.5000985,115.60165644,6037,WA,8 Snapper Way,Two Rocks,2,3,2,Perth Lifestyle Residential - Lifestyle Is Where It Begins,"Fully Fenced, Garage: 2, Remote Garage, Shed, Air Conditioning, Built-in Wardrobes, Ensuite: 1, Split-system Heating, Toilets: 2"
Stylish One-Bedroom Apartment in Denman Prospect,490.0,"Welcome to this modern residential apartment located at B.610/15 Summerfield Close, Denman Prospect. This stunning one-bedroom, one-bathroom home offers a perfect blend of comfort and convenience. With a spacious layout, you'll enjoy a light-filled living space that seamlessly connects to your private balcony, ideal for relaxing after a long day.<br/><br/>This apartment features a well-appointed bedroom with ample storage, ensuring you have everything you need at your fingertips. The contemporary bathroom boasts stylish fixtures, providing a serene space to unwind. With a secure garage included, parking will never be an issue.<br/><br/>Available: NOW <br/><br/>Additional Information:<br/>-This property has an embedded network for Internet & Electricity.<br/>-The tenant/s must seek landlord consent to keep pets at this property.<br/>-The property is exempt from the minimum housing standards for insulation.<br/>-The property is unfurnished.<br/>-Please note you may be required to remove your shoes prior to inspecting the property.<br/><br/>Located in the sought-after Denman Prospect area, you'll have access to lush parks, walking trails, and vibrant community amenities. Don’t miss the opportunity to make this exceptional apartment your new home!<br/>",apartment,Denman Prospect,-35.30000763,149.03289905,2611,ACT,B.610/15 Summerfield Close,Denman Prospect,1,1,1,One Agency Brindabella - BELCONNEN,Garage: 1
2 Bedroom Cabin for Rent – $500.00,500.0,"002/250 CANBERRA AVE, SYMONSTON<br/><br/>Enjoy comfortable living in this fully furnished cabin designed for long-term tenants. With a versatile second room, you can set up a study, hobby space, or guest room to suit your lifestyle.<br/>Features:<br/>• Spacious open-plan living area<br/>• Fully furnished main bedroom and living spaces<br/>• Second bedroom furnished<br/>• Kitchen with appliances included<br/>• Private bathroom<br/>• Air conditioning/heating for year-round comfort<br/>• Onsite parking<br/>Park Facilities:<br/>• Well-maintained grounds with peaceful surroundings<br/>• Laundry facilities available<br/>• Community BBQ area<br/>• Secure and friendly environment<br/>• Close to local shops, services, and public transport Rent:<br/>• $500 per week<br/>• Bond required<br/>• Long-term lease available",unit,Symonston,-35.33217889,149.16396861,2609,ACT,002/250 Canberra Ave,Symonston,1,2,1,Hampshire Rentals,Open Spaces: 1
Oceanside Apartment - Furniture Optional,1050.0,"This new apartment in a quiet cul de sac oceanside location is approximately minutes away from Coogee Beach, Woodman Point Beach, Fremantle, Port Coogee Village Shopping Centre, Coogee Plaza and Phoenix shopping Centre . <br/><br/>Features also include: <br/><br/>Fully furnished (optional) <br/>Fridge and kitchen appliances included <br/>Washing machine included <br/>2 x large bedrooms <br/>Ceiling fans in each room <br/>Inbuilt wardrobes <br/>Hybrid flooring throughout <br/>2 x modern bathrooms <br/>Open plan kitchen, dining and lounge <br/>Private balcony <br/>Separate laundry <br/>Secure parking <br/>Disability Accessible <br/><br/>",apartment,North Coogee,-32.08454085,115.75901209,6163,WA,16/1 Parney Close,North Coogee,2,2,1,Executive Property Sales & Management - Myaree,Garage: 1
"Sophisticated, Stylish, Spacious and Modern - Everything you want and need",900.0,"This sophisticated home is ready and waiting to be your next home, whether you are a professional couple with regular visitors or a family looking for your next family home. The stylish and modern fit-out throughout is everything a new construction build should have so don't miss out on viewing this property to inspect all this house has to offer.<br/><br/>Features include:<br/>- 4 Bedrooms<br/>- Ensuite<br/>- Separate toilet<br/>- Built-in wardrobe spaces<br/>- Large spacious combined/open plan family room and dining area offset the exceptional kitchen<br/>- Modern kitchen includes an electric cooktop, a plethora of cupboard space with a walk-in pantry and a large kitchen bench<br/>- Ducted gas heating<br/>- Ducted electric cooling<br/>- Solar hot water system<br/>- Timber look flooring throughout with carpet to the bedrooms<br/>- Stylish tiling design to both the bathroom and ensuite<br/>- Double garage with remote control access<br/><br/>Available: 24/03/2026<br/>Lease: 12 Months preferred<br/>EER Rating: 6.1* (2018)<br/><br/>All pets will be considered on application. No animals/pets are permitted without express written consent from the lessor. If you intend to request consent, please include details of your pet in the application form. Note: Additional forms may need to be completed.<br/><br/>While all care has been taken in compiling this information, we accept no responsibility and disclaim all liabilities in regard to any errors contained in this advertisement. All parties should rely on their own investigations to validate any information provided.<br/><br/>*EER is the Energy Efficiency Rating. An EER rating can be issued anytime from 1997. We advise you check the issue date of an EER, if the rating is of importance to you when choosing a property. Where N/A is noted, this is because the property has not had an EER assessment since 1997 onwards.",house,Throsby,-35.1912186,149.16214454,2914,ACT,34 Quokka Street,Throsby,2,4,2,Civium Property Group,"Garage: 2, Air Conditioning, Toilets: 1"
Modern 1 Bedroom Apartment in Prime Bruce Location,480.0,"AVAILABLE 19TH OF MARCH<br/>$480 PER WEEK<br/>12 MONTH LEASE<br/><br/>Apply through realestate.com.au <br/><br/>Enjoy the perfect combination of comfort, convenience, and lifestyle in this well-presented one-bedroom apartment, ideally located in the sought-after complex. This home offers low-maintenance living with excellent amenities right at your doorstep.<br/><br/>Step inside to discover a light-filled open plan living and dining area designed for relaxed everyday living. The thoughtfully designed layout includes a dedicated study area, ideal for working from home or creating a quiet reading space.<br/><br/>The modern kitchen seamlessly connects to the living area, while reverse-cycle air-conditioning ensures year-round comfort. The generously sized bedroom features a built-in wardrobe, and the contemporary bathroom is stylish and functional.<br/><br/>Property Features:<br/>- 1 good-sized bedroom with built-in wardrobe<br/>- 1 modern bathroom<br/>- Open plan living and dining area<br/>- Reverse-cycle air-conditioning for year-round comfort<br/>- Built-in storage space<br/>- Secure building entry with intercom access<br/>- Remote-controlled access to garage<br/>- 1 secure car space included<br/>- Access to communal BBQ area<br/>-In-ground swimming pool<br/><br/>Ceiling Insulation - exempt<br/><br/>EER unknown.<br/><br/>Disclaimer:<br/>Whilst all care has been taken in compiling information regarding properties marketed for rent, we accept no responsibility and disclaim all liabilities in regards to any errors or inaccuracies contained herein. All parties should rely on their own investigation to validate information provided.<br/><br/>Pets:<br/>In accordance with the Residential Tenancies Act Clause 71AE Process for tenant seeking consent – the tenant must apply, in writing, to the lessor, for the lessors’ consent to keep pet/s at this property. The lessor may impose conditions on consent, including but not limited to, the number and type of animals being kept, and any cost involved for rectification required as a result of the animal.<br/><br/>",apartment,Bruce,-35.24453498,149.09515632,2617,ACT,209/82 Thynne Street,Bruce,1,1,1,Cream Residential - Hughes,"Balcony, Garage: 1, Secure Parking, Swimming Pool - Inground, Built-in Wardrobes, Dishwasher, Split-system Air Conditioning"
Light filled Two Storey Townhouse in Sought After Location,950.0,"This modern townhouse offers privacy, space, and lifestyle convenience.<br/><br/>There is secure entry via a gated front courtyard leading to a light-filled home featuring open plan living with a high void ceiling, and a contemporary kitchen.<br/><br/>To the rear of the property, French doors open on to a spacious courtyard, along with a large laundry complete with shower and toilet. Upstairs, the spacious master bedroom features built in robes, a generous ensuite, balcony and excellent storage throughout, including an under stair storeroom.<br/><br/>Additional features include reverse cycle air conditioning to the living area and master bedroom, private front and rear courtyards and dishwasher.<br/><br/>Property Features:<br/>• Secure gated front courtyard<br/>• Two bedrooms, two bathrooms<br/>• Open-plan living with high ceilings<br/>• Modern kitchen with dishwasher<br/>• Large laundry with shower & toilet<br/>• Built in robes to master bedroom<br/>• Reverse cycle air conditioning<br/>• Private courtyards front and rear<br/>• Excellent storage throughout<br/>• 1x Car space<br/><br/>This property won't last long so contact Shyne Zellman on (08) 9245 7777 to secure your viewing!<br/><br/>HOW TO VIEW THIS PROPERTY<br/>Viewing is easy! Simply click on the button 'Book an inspection time' via the TenantApp https://www.tenantapp.com.au/Rentals or your preferred real estate platform, then enter your details to register for the Home Open available home open times<br/>You will be INSTANTLY informed of any updates, changes or cancellations for your appointment.<br/>If no one registers for an appointment time - then that appointment may not proceed.<br/>So DON'T MISS OUT book for an appointment today<br/>Applications are accepted via 2Apply once you have inspected the property, if you wish to proceed it is recommended you have the application form completed in full and provide as much information as possible, including supporting Documents and accurate reference details.",house,Crawley,-31.98662,115.81676,6009,WA,16C Princess Road,Crawley,2,2,1,Harcourts Empire - WEMBLEY DOWNS,Garage: 1
Situated in Littlehampton - Close to local amenities,535.0,"Weekly rent $535.00<br/>Available Friday 6th March <br/><br/>The beautiful residence comprises of 3 bedrooms, master with ensuite and walk-in robe. The heart of the home consists of a functional kitchen with walk-in pantry, adjacent to the meals and living room situated at the front of the house. Step outside to find yourself surrounded by established gardens providing a picturesque, peaceful and private setting.<br/><br/>Internal features include:<br/>- 3 bedrooms<br/>- Main suite positioned at the front of the home with ensuite and walk-in robe -<br/>- Functional kitchen with ample bench, cupboard space and walk-in pantry<br/>- Spacious living and meals area with plenty of room to move<br/>- Freestanding electric cook top and oven <br/>- Plenty of additional storage<br/><br/>External features include:<br/>- Carport<br/>- Additional car parking space<br/>- Easy-to-care-for, low maintenance gardens with and array of plants and shrubs<br/>- Veggie patch<br/>- Electric hot water system<br/>- Garden shed<br/>- Clothesline<br/>- Fully fenced<br/>- Peaceful and private rural outlook<br/><br/>Pets: Upon Application<br/>Water Charges: Tenant to pay supply & usage<br/>Unfurnished",house,Littlehampton,-35.03340404,138.91200883,5250,SA,54 North Tce,Littlehampton,2,3,1,Harris Real Estate -  Adelaide Hills RLA 343103,"Carport: 1, Living Areas: 1"
NEWLY BUILT MODERN ELEGANCE IN AN ULTRA-CONVENIENT LOCATION!,840.0,"From the moment you step through the front door, you will be captivated by the thoughtful design and stylish finishes of this beautifully presented residence. Offering comfort, functionality, and contemporary appeal, this impressive home delivers light-filled living spaces complemented by neutral, high-quality finishes throughout.<br/><br/>Boasting 3 spacious bedrooms, 2 modern bathrooms, plus a bonus enclosed study, this home is perfectly suited to professionals, small families, or those working from home.<br/><br/>Ideally positioned just a short 300m stroll to Belmont Forum, you will enjoy easy access to fashion, dining, and entertainment options right at your doorstep. Public transport is conveniently located only a few hundred metres away, the Perth CBD is approximately 15 minutes by car and Perth Airports can be reached in under 10 minutes - an exceptional location for city commuters and frequent travellers alike!<br/><br/>Surrounded by beautiful green open spaces including Arlunya Park, Miles Park, Forster Park, and Faulkner Park, this location offers the perfect balance of lifestyle and convenience.<br/><br/>FEATURES INCLUDE:<br/>* Spacious open-plan kitchen, dining and living area designed for modern living<br/>* Stylish kitchen featuring quality appliances, stone benchtops, ample cabinetry and contemporary finishes<br/>* Generous master suite complete with mirrored built-in robe and sleek ensuite<br/>* Stylish and spacious ensuite features large shower, toilet, stone benchtops and vanity with generous storage space <br/>* Two additional well-sized bedrooms with mirrored built-in robes<br/>* BONUS ENCLOSED STUDY - ideal for a home office or additional retreat<br/>* Well-appointed main bathroom with stone benchtops, shower and separate bath<br/>* Separate powder room for added convenience <br/>* Good-sized laundry with practical storage<br/>* Split system air-conditioning to the living area and master bedroom<br/>* Outdoor paved area with small grassed area<br/>* Second paved court yard offers multiple entertaining zones <br/>* Single garage with additional parking spaces for two vehicles<br/><br/>This beautifully finished home offers low-maintenance living without compromising on space or style and will be ready to lease from March 2026.<br/><br/>HOW TO VIEW THIS PROPERTY: <br/>Arranging inspections is easy! Simply go to our website: (www.welshrealestate.com.au) and click the 'Book Inspection' button for that rental property. You can then enter your details and choose an inspection time that suits YOU.<br/><br/>By registering your details using either method above, you will be INSTANTLY informed of any updates, changes or cancellations for your property appointment. If no one registers for an inspection time - then that inspection may not proceed. <br/><br/>DON'T MISS OUT - book an inspection time today! <br/><br/>To view all of our rental or sales property please SMS the word Rent or Buy to [REDACTED PHONE]. <br/><br/>***Please note: <br/>Properties are advertised using photographs that may or may not be current and the property may differ in some way. Potential tenants must view each property before applying to ensure you are satisfied with the current condition*** <br/><br/>***ATTENTION LANDLORDS: <br/>If you are looking for exceptional and award winning property management service, we are here to help! Contact our office on (08) 9270 7200, email us at [REDACTED EMAIL] or send an enquiry via this property. We have so many reviews from very happy property owners as well as tenants. We look forward to assisting you soon**",house,Cloverdale,-31.96534246,115.94015185,6105,WA,353A Abernethy Road,Cloverdale,2,3,1,WELSH Real Estate -  Belmont,"Garage: 1, Toilets: 2"
